Name,Type,Latitude,Longitude,Nearest_Flood_ID,Distance_km
Chiropractic & Wellness Centres,Clinic,5.613932,-0.2098381,1861,4.007
Lapaz Community Hospital,Hospital,5.6354204,-0.2153604,1861,2.475
Sweden Ghana Medical Centre,Hospital,5.7250381,-0.1148981,3486,1.942
Christleads Medical Center,Clinic,5.6803825,-0.1762184,1861,4.297
Emmanuel Eye Clinic,Clinic,5.6304406,-0.1744333,1861,3.092
Diagnostic Centre,Clinic,5.6317096,-0.1742594,1861,3.023
Quality Care,Clinic,5.6377095,-0.1619128,1861,3.982
Urban Medical Research Center,Clinic,5.6812542,-0.195842,1861,3.76
Inter-Star Eye Clinic,Clinic,5.6464588,-0.1550017,1861,4.598
St Moses Clinic,Clinic,5.6886522,-0.2858896,1740,1.589
Dr. Mensah Herbal Clinic & Shop,Clinic,5.6805873,-0.1731334,1861,4.504
Anglican Medical Center,Clinic,5.6972601,-0.2811363,1740,2.669
Save the Nation's Sight Clinic,Clinic,5.6584216,-0.155802,1861,4.67
Amamorley Health Centre,Clinic,5.6634783,-0.2968717,1740,1.479
Mini Clinic,Clinic,5.6674754,-0.1856644,1861,2.531
Unnamed Facility,Clinic,5.6720409,-0.2043342,1861,2.867
Penbrose Clinic,Clinic,5.6482781,-0.2283482,1861,3.521
Unnamed Facility,Clinic,5.6207118,-0.2255232,1861,4.373
Top Herbal Clinic,Clinic,5.6828351,-0.1935029,1861,3.949
Medifem Multi-Specialist Hospital & Fertility Centre,Hospital,5.6585279,-0.2060705,1861,1.622
General Family Hospital,Hospital,5.7243467,-0.0579181,3486,4.689
Diamed Diagnostical and Treatment Center,Clinic,5.6390968,-0.1774079,1861,2.312
McHenly's Medical Centre,Hospital,5.632815,-0.1669205,1861,3.659
Lebanon Community Hospital,Hospital,5.720567,-0.0578471,3486,4.802
Wellmark Specialist Hospital,Hospital,5.681192,-0.1933658,1861,3.768
Global Star HealthCenter,Clinic,5.6753628,-0.1818852,1861,3.502
Albany Specialist Clinic,Clinic,5.6701424,-0.1838431,1861,2.888
Expert's Hand Clinic,Clinic,5.677701,-0.1795796,1861,3.852
Unity Medical Center,Clinic,5.6777476,-0.1755571,1861,4.091
Bemuah Royal Hospital,Hospital,5.6459731,-0.1568956,1861,4.39
Cosmopolitan Health,Clinic,5.6445739,-0.1554561,1861,4.557
Valley View Clinic,Clinic,5.6151555,-0.1982836,1861,3.596
MMC Polyclinic,Clinic,5.6120216,-0.1938669,1861,3.951
Van J Eye Care,Clinic,5.6126394,-0.1982344,1861,3.875
Ga North Municipal Hospital,Hospital,5.6553167,-0.2778011,1740,2.591
MEDIMAFO Herbal Hope,Hospital,5.7180502,-0.2824956,1740,4.859
