date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version,district_name
2022-01-01,2,1011444,RW57,41.0,8.756098,25.669106,96.29269,87.15691,288.41464,315.18942,44.85327,109.91328,91.63783,final,Bugesera
2022-01-11,2,1011444,RW57,41.0,60.560974,24.311382,121.560974,85.86016,312.80487,303.26178,223.6707,139.29204,103.09577,final,Bugesera
2022-01-21,2,1011444,RW57,41.0,26.414635,27.619513,95.731705,77.6,294.65857,291.4,96.30626,121.951225,101.09938,final,Bugesera
2022-02-01,2,1011444,RW57,41.0,29.658537,25.347967,116.63415,77.27886,302.70734,271.66016,114.20382,147.83159,111.22214,final,Bugesera
2022-02-11,2,1011444,RW57,41.0,55.585365,29.209757,111.65854,82.17724,328.43903,263.81546,177.09969,133.81766,124.04013,final,Bugesera
2022-02-21,2,1011444,RW57,41.0,33.292683,23.110569,118.53659,77.66829,315.48782,243.69186,136.22166,149.4365,128.86945,final,Bugesera
2022-03-01,2,1011444,RW57,41.0,31.731707,43.055283,120.60976,95.37561,333.53662,259.81137,76.436356,125.13971,127.84066,final,Bugesera
2022-03-11,2,1011444,RW57,41.0,49.585365,36.798374,114.60976,102.964226,347.82928,271.00162,130.59207,110.786476,127.83595,final,Bugesera
2022-03-21,2,1011444,RW57,41.0,27.243902,53.117073,108.560974,132.97073,322.82925,288.239,55.48095,82.30802,111.79593,final,Bugesera
2022-04-01,2,1011444,RW57,41.0,24.707317,54.00488,101.53659,143.92032,338.78046,316.5748,50.34722,71.53932,106.90528,final,Bugesera
2022-04-11,2,1011444,RW57,41.0,49.634148,48.057724,101.585365,155.17967,327.85364,340.32114,102.971146,66.54113,96.389595,final,Bugesera
2022-04-21,2,1011444,RW57,41.0,80.12195,42.608944,154.46341,144.67154,381.56097,355.31058,178.79402,106.542244,107.285484,final,Bugesera
2022-05-01,2,1011444,RW57,41.0,18.975609,33.930893,148.73172,124.597565,370.87805,363.8935,61.585045,118.62238,101.89338,final,Bugesera
2022-05-11,2,1011444,RW57,41.0,6.0731707,28.591871,105.17073,105.13171,321.36588,363.2756,32.96384,100.03543,88.62001,final,Bugesera
2022-05-21,2,1011444,RW57,41.0,55.609756,22.96992,80.65854,85.49268,343.68292,363.13498,216.69621,94.65797,94.71606,final,Bugesera
2022-06-01,2,1011444,RW57,41.0,3.5609756,7.510569,65.243904,59.072357,315.5122,327.59024,68.429955,109.63215,96.36849,final,Bugesera
2022-06-11,2,1011444,RW57,41.0,1.9756098,3.5219512,61.14634,34.002438,267.90244,294.3138,81.85461,169.5954,91.176025,final,Bugesera
2022-06-21,2,1011444,RW57,41.0,2.2682927,2.6227643,7.804878,13.655285,242.92683,243.8195,95.34982,68.63941,99.64124,final,Bugesera
2022-07-01,2,1011444,RW57,41.0,1.1707317,1.692683,5.4146338,7.8373985,219.39026,191.50731,92.201164,81.12729,114.18927,final,Bugesera
