Name,Type,Latitude,Longitude
Chiropractic & Wellness Centres,Clinic,5.613932,-0.2098381
Dua Clinic,Clinic,5.5720758,-0.2025512
Dohamm Clinic Limited,Clinic,4.9304764,-1.7802097
Odorna Medical Center,Clinic,5.5590844,-0.2156089
Adabraka clinic,Clinic,5.5662728,-0.2095995
Ashaiman Poly Clinic,Clinic,5.6865054,-0.0397182
Tamale West Hospital,Hospital,9.4019248,-0.8508627
Medlab,Clinic,5.6015884,-0.1928943
Chansa CHPS,Clinic,10.5726862,-1.192668
Gbedembilisi CHPS,Clinic,10.327591,-1.2466083
Uwasa CHPS,Clinic,10.480188,-1.2284805
Wiesi CHPS,Clinic,10.3687564,-1.3360766
Lapaz Community Hospital,Hospital,5.6354204,-0.2153604
Sweden Ghana Medical Centre,Hospital,5.7250381,-0.1148981
Pong-Tamale CHPS Clinic,Clinic,9.6806869,-0.8300194
Ramona Clinic,Clinic,5.5609961,-0.1824485
UMaT Clinic,Clinic,5.2991043,-2.0005696
Unnamed Facility,Clinic,5.138849,-1.6632347
Rabbito Clinic,Clinic,4.8976961,-1.7639354
All Care Medical Center,Clinic,5.7080264,-0.0149194
Topview Diagnostic Center,Clinic,6.0061958,0.6158548
Tebrebe Clinic,Clinic,5.2727196,-2.0358216
Health Plus Clinic,Clinic,5.2852074,-2.0004705
Unnamed Facility,Clinic,7.3134112,-1.5788915
Lifebridge Physio Clinic,Clinic,5.5568986,-0.1784063
Ashaiman Community Hospital,Hospital,5.7108652,-0.0370839
New Crystal Hospital,Clinic,5.6902728,-0.0343304
Dar-bem Clinic,Clinic,5.683381,-0.0362583
St Florence Clinic,Clinic,5.6882259,-0.0327441
Afenyo Memorial Hospital,Clinic,5.6921057,-0.0342412
Okanta Clinic,Clinic,5.6868756,-0.0399833
Ngyiresi CHPS Compound,Clinic,5.3511022,-0.8436953
Solace Hospital,Clinic,5.6784823,-0.0281321
Adenta Clinic,Clinic,5.7060649,-0.1681089
Caiquo Hospital,Clinic,5.6529005,-0.0224658
Medical & Dental Council Ghana,Clinic,5.5523517,-0.2112043
Dansoman polyclinic,Clinic,5.5610799,-0.2600791
CHPS,Clinic,10.0688655,-0.8971085
Wassa Akropong Government Hospital,Clinic,5.7815423,-2.0838859
Anloga Avete Clinic,Clinic,5.7916311,0.8825777
Nat Herbal Clinic,Clinic,6.6342427,-0.7403711
Champion Divine,Clinic,5.6427452,-0.2494993
George & Angelina,Clinic,6.7433264,-1.458069
GHS,Clinic,5.3833164,-0.9250126
GHS (Chips Zone),Clinic,5.3301088,-0.8334708
Sanford Internal Clinic,Clinic,5.3390201,-0.9139165
Aburaso Health center,Hospital,6.6611852,-1.6769815
Christleads Medical Center,Clinic,5.6803825,-0.1762184
G.P.H.A Clinic Tema,Clinic,5.6326817,-0.0065233
Emmanuel Eye Clinic,Clinic,5.6304406,-0.1744333
Diagnostic Centre,Clinic,5.6317096,-0.1742594
Adawukwao CHIPS Compound,Clinic,5.6721049,-0.5151614
Aboso Clinic,Clinic,5.3658203,-1.9409662
Bogoso Clinic,Clinic,5.5695349,-2.0195425
Cocoa Clinic,Clinic,6.6839711,-1.6164051
St. Joseph's Hospital,Clinic,10.533558,-2.6997333
Chirano health center,Clinic,6.272812,-2.3192901
SIC Bob Freeman Clinic,Clinic,5.5543241,-0.208527
Opmann Clinic,Clinic,5.6081001,-0.2420194
Rinat Clinic,Clinic,5.6518739,-0.1312267
Prolife Chinese Acupuncture Clinic,Clinic,5.6601658,-0.1517444
Essiama Community Health Centre,Clinic,4.9357441,-2.3552129
Opoku Clinic,Clinic,7.3438349,-2.3286517
Healthlane Clinic,Clinic,7.3431512,-2.3274742
Healthnet Clinic,Clinic,5.5542568,-0.1718348
Duusi CHPS Compound,Clinic,10.7792563,-0.6931646
Kamgbunli Clinic,Clinic,4.9771869,-2.415183
Brahabebome Clinic,Clinic,5.3100143,-1.9992819
Unnamed Facility,Clinic,5.3065028,-1.9913305
Nature Health Care Center,Clinic,5.3144182,-1.9905213
Nurse's quarters,Clinic,9.2139947,-1.8563603
Oak Tree Medical Services,Clinic,5.115063,-1.2748188
Hoggar Clinic Limited,Clinic,6.1296038,0.7957311
Dr. Mensah,Clinic,6.69986,-1.6191897
Gemar Hospital,Clinic,4.8904665,-1.9548466
Peposo CHPS,Clinic,5.3309311,-2.1456792
Prestea CHPS,Clinic,5.4378607,-2.1439981
Polyclinic,Clinic,5.6128857,-0.0889658
Quality Care,Clinic,5.6377095,-0.1619128
Urban Medical Research Center,Clinic,5.6812542,-0.195842
St. Mary’s Eye Clinic,Clinic,7.586238,-2.7854284
St. Edward's Clinic,Clinic,6.6897916,-1.6101034
Nyaho Medical Centre,Hospital,5.5514896,-0.2039394
Providence Medical Centre,Clinic,6.0784731,-0.2713897
Newlands Medical Centre,Clinic,6.0824943,-0.2753886
Abura Clinic,Clinic,5.1311773,-1.2727752
Port Medical Centre,Clinic,5.6426385,0.0014169
Addis Medical Laboratory,Clinic,7.3330164,-2.3215114
Eastwing Clinic,Clinic,5.7563962,-0.006262
Omari Medical Centre,Clinic,5.7722671,-0.0050862
Codia Clinic,Clinic,5.7545405,0.0469545
Emergency Response Center,Clinic,6.0923914,1.0741066
Club Road Clinic,Clinic,5.5444776,-0.2063852
Kpeve New Town Health Center,Clinic,6.6781445,0.3142734
Oman Clinic,Clinic,6.0978372,-0.2608407
Quantum Medical Centre and Eye Clinic,Clinic,5.5674737,-0.2573862
Kotoku Clinic,Clinic,5.7363698,-0.3594848
CDC Hospital (Cosmas- Damien Clinic),Clinic,6.0882694,-0.260182
Edward Attah Asare,Clinic,5.6136103,-0.240192
Koforidua Clinic,Clinic,6.0884965,-0.2686479
