ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
258,0,Ghana ,0,-1.18135,9.63061,102162.19,1988-10-01,1988-10-11,News,0,3000,Heavy rain,1.0
358,0,Ghana,0,-0.782037,9.4963,15897.07,1989-08-25,1989-08-29,News,2,400,Heavy rain,1.0
540,0,Ghana,0,-0.188618,6.10806,36967.57,1991-07-14,1991-07-16,News,5,0,Heavy rain,1.0
971,0,Ghana,0,-1.06662,6.4376,120779.51,1995-07-05,1995-07-07,News,22,55000,Heavy rain,2.0
1242,0,Ghana,0,0.117668,5.75584,4329.97,1997-06-12,1997-06-15,News,6,0,Heavy rain,1.0
1460,0,Ghana,0,-0.150337,5.93195,25281.98,1998-10-19,1998-10-24,News,3,0,Heavy rain,1.0
1551,0,Ghana ,0,1.79199,11.1616,126690.79,1999-09-03,1999-09-13,News,1,9000,Heavy rain,1.0
1740,0,Ghana ,0,-0.290265,5.67504,417.102,2001-06-27,2001-06-30,News,12,80000,Monsoonal rain,1.0
1861,0,Ghana,0,-0.196538,5.64745,867.248,2002-01-06,2002-01-08,News,0,0,Heavy rain,1.0
1947,0,Ghana,0,-0.196538,5.64745,867.248,2002-06-10,2002-06-12,News,0,0,Heavy rain,1.0
3166,FL-2007-000132-BFA,Ghana,,0.612005,13.0377,1695464.52,2007-07-26,2007-10-10,News,153,540000,Heavy rain,1.5
3486,0,Ghana,,-0.099363,5.73317,9340.14,2009-05-25,2009-05-26,News,115,20000,Tropical Storm,1.5
3501,,Ghana,0,-1.03826,6.20262,77546.62,2009-07-06,2009-07-17,0,5,300,Heavy Rain,1.0
3542,0,Ghana,0,-0.992335,8.85094,73811.61,2009-09-17,2009-09-21,0,0,5000,"Heavy Rain, Dam Release",2.0
3663,0,Ghana,0,-0.981038,7.93162,150908.11,2010-06-22,2010-06-26,0,30,0,Heavy Rain,1.0
3747,0,Ghana,0,-0.809999,8.28,4567.71,2010-11-05,2010-11-11,News,0,2600,Heavy Rain,1.5
3844,,Ghana,,-0.452256,7.84386,55103.28,2011-07-22,2011-07-29,News,6,12571,Heavy Rain,1.0
3872,,Ghana,,-0.945865,5.58466,9829.52,2011-10-26,2011-10-29,News,14,43000,Torrential Rain,1.0
4260,FL-2015-000065-GHA,Ghana,Togo,-0.546442,7.38005,266950.09,2015-06-02,2015-06-15,News,150,5300,Torrential Rain,1.5
4361,,Ghana,,-1.16503,6.41411,74506.4,2016-06-12,2016-06-21,News,5,0,Heavy Rain,1.0
4631,,Ghana,Ivory Coast,-2.64964,5.59584,58480.1,2018-06-18,2018-06-19,FloodList,21,115,Torrential Rain,1.0
4638,,Ghana,,-1.70939,6.78596,23280.81,2018-06-28,2018-07-02,FloodList,5,500,Heavy Rain,1.5
4683,,Ghana,,-1.06606,9.53755,83997.78,2018-09-01,2018-10-02,FloodList,34,100000,"Heavy Rain, Dam releases",1.5
4819,,Ghana,,0.146375,5.81812,7285.63,2019-10-25,2019-10-30,FloodList,0,0,Heavy Rain,1.0
