date,adm_level,adm_id,PCODE,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
2022-01-01,1,900110,RW1,23.0,10.869565,22.782608,100.69565,82.57536,314.56522,319.27682,57.120502,120.69107,98.54704,final
2022-01-11,1,900110,RW1,23.0,43.47826,21.605797,108.0,79.46232,315.86957,303.0493,182.20938,133.78748,104.161766,final
2022-01-21,1,900110,RW1,23.0,24.217392,24.972464,78.565216,69.36087,280.1739,283.12753,97.48078,112.377945,98.974884,final
2022-02-01,1,900110,RW1,23.0,35.434784,26.692753,103.13043,73.27101,295.60867,264.5884,127.583694,138.14876,111.50652,final
2022-02-11,1,900110,RW1,23.0,64.652176,32.3029,124.30435,83.96812,328.34784,259.30435,186.72055,145.33786,126.12273,final
2022-02-21,1,900110,RW1,23.0,38.52174,26.014492,138.6087,85.01015,320.5652,241.76231,140.3271,159.54724,131.93472,final
2022-03-01,1,900110,RW1,23.0,39.434784,46.34348,142.6087,104.660866,346.43478,260.50726,86.54416,134.60472,132.36354,final
2022-03-11,1,900110,RW1,23.0,48.347828,38.99565,126.30435,111.35362,358.6087,274.78406,121.25704,112.84939,129.96048,final
2022-03-21,1,900110,RW1,23.0,30.304348,57.15507,118.08696,142.4942,335.2609,296.8652,56.80043,83.45207,112.71949,final
2022-04-01,1,900110,RW1,23.0,25.782608,55.54493,104.434784,151.69565,350.17395,329.62753,50.84259,69.83907,106.14009,final
2022-04-11,1,900110,RW1,23.0,62.782608,50.430435,118.86957,163.13043,369.47827,358.45218,122.2841,73.67468,103.03371,final
2022-04-21,1,900110,RW1,23.0,78.695656,45.13768,167.26086,151.11304,423.9565,378.6174,166.93166,110.34367,111.81884,final
2022-05-01,1,900110,RW1,23.0,22.086956,39.47246,163.56523,135.04057,410.6087,391.3971,60.907257,120.36885,104.84656,final
2022-05-11,1,900110,RW1,23.0,8.782609,34.126087,109.565216,118.73623,354.73914,393.22028,35.226135,92.58826,90.33672,final
2022-05-21,1,900110,RW1,23.0,67.91304,26.60145,98.78261,100.2,384.13043,393.80725,230.72688,98.65267,97.57356,final
